###Yngalong###
YNG = "countries/Yngalong.txt" #Feherva
LAX = "countries/Lax.txt" #Tanra
ARA = "countries/Aranika.txt" #Asthelheer
WUN = "countries/Wundeng.txt" #Eschenbach
DUN = "countries/Dunatra.txt" #Erilaz
TAN = "countries/Tanra.txt" #Teuderonaz
AMA = "countries/Amara.txt" #Amaridaz
LEU = "countries/Leukrata.txt" #Galgaheer
TEU = "countries/Teuderong.txt" #Leukrates
GCP = "countries/Captaincies.txt"

###Mulkhidia###
MUK = "countries/Mulkhids.txt"
QAT = "countries/Qatrids.txt"
SAM = "countries/Samakhids.txt"
RYD = "countries/Rydanids.txt"
HOR = "countries/Horits.txt"
ARE = "countries/Arethids.txt"
ZYR = "countries/Zyrjane.txt"

###Dorsal###
DOR = "countries/Dorsal.txt"
GLS = "countries/Godlesstate.txt"
IRG = "countries/Iron Ring.txt"
LOR = "countries/League of Regicide.txt"
PCR = "countries/Patriotic Army.txt"
CTA = "countries/Constituent Assembly.txt"
LRD = "countries/Landsraad.txt"
ESA = "countries/Esangi.txt"
KRI = "countries/Krina.txt"
KAR = "countries/Kareonida.txt"
AHF = "countries/Army of Holy Faith.txt"
MEZ = "countries/Mezhonia.txt"
BUR = "countries/Buresh.txt"
GRO = "countries/Grotida.txt"
GIM = "countries/Gimirra.txt"
SHA = "countries/Shangama.txt"

###Moorlanda###
CSN = "countries/Confederation of Seven Nations.txt"

###Great March###
RAG = "countries/Raguenel.txt"
MON = "countries/Montaigu.txt"
ROU = "countries/Roubigo.txt"
PAR = "countries/Parail.txt"

###Sentanta###
SNS = "countries/Sentanta.txt"
RBB = "countries/Red Band.txt"
BLB = "countries/Blue Band.txt"
BLC = "countries/Black Band.txt"

###Wild Field###
EST = "countries/Estored.txt"

###Far South###
NOT = "countries/Nott.txt"
SFE = "countries/Self Eaters.txt"
IHA = "countries/Ilkh Angaj.txt"
RGS = "countries/Realm of Great Sorcerer.txt"
NIK = "countries/Nikan.txt"
OLW = "countries/Old Welta.txt"

###Stravena###
IRI = "countries/Irij.txt"
JAR = "countries/Jarobor.txt"

###Western Hemisphere###
TCL = "countries/Trencavels Land.txt"

###Trash###
